  0%|                                                                                                                                          | 0/5118 [00:00<?, ?it/s]/data/pangzs/miniconda3/envs/etchat/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
You are not running the flash-attention implementation, expect numerical differences.
                                                                                                                                                                        
{'loss': 8.6604, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 8.8317, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 8.3166, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 8.6084, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 8.651, 'grad_norm': 7.318047523498535, 'learning_rate': 1.298701298701299e-07, 'epoch': 0.0}
{'loss': 9.3376, 'grad_norm': 7.184803009033203, 'learning_rate': 2.597402597402598e-07, 'epoch': 0.0}
{'loss': 8.6678, 'grad_norm': 5.752658843994141, 'learning_rate': 3.896103896103896e-07, 'epoch': 0.0}
{'loss': 8.645, 'grad_norm': 7.818480491638184, 'learning_rate': 5.194805194805196e-07, 'epoch': 0.0}
{'loss': 8.3044, 'grad_norm': 6.751999855041504, 'learning_rate': 6.493506493506493e-07, 'epoch': 0.0}
{'loss': 8.6051, 'grad_norm': 6.855099678039551, 'learning_rate': 7.792207792207792e-07, 'epoch': 0.0}
{'loss': 8.6696, 'grad_norm': 5.807905673980713, 'learning_rate': 9.090909090909091e-07, 'epoch': 0.0}
{'loss': 8.4827, 'grad_norm': 8.416561126708984, 'learning_rate': 1.0389610389610392e-06, 'epoch': 0.0}
{'loss': 8.5991, 'grad_norm': 7.122249603271484, 'learning_rate': 1.168831168831169e-06, 'epoch': 0.0}
{'loss': 8.3724, 'grad_norm': 5.450546741485596, 'learning_rate': 1.2987012987012986e-06, 'epoch': 0.0}
{'loss': 8.9546, 'grad_norm': 8.515626907348633, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.0}
{'loss': 8.584, 'grad_norm': 8.515626907348633, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.0}
{'loss': 8.8184, 'grad_norm': 6.554903507232666, 'learning_rate': 1.5584415584415584e-06, 'epoch': 0.0}
{'loss': 8.7348, 'grad_norm': 7.174612045288086, 'learning_rate': 1.6883116883116885e-06, 'epoch': 0.0}
{'loss': 8.4186, 'grad_norm': 5.645799160003662, 'learning_rate': 1.8181818181818183e-06, 'epoch': 0.0}
{'loss': 8.7342, 'grad_norm': 5.128326416015625, 'learning_rate': 1.9480519480519483e-06, 'epoch': 0.0}
{'loss': 8.1776, 'grad_norm': 4.814470291137695, 'learning_rate': 2.0779220779220784e-06, 'epoch': 0.0}
{'loss': 8.7086, 'grad_norm': 6.314852237701416, 'learning_rate': 2.207792207792208e-06, 'epoch': 0.0}
{'loss': 8.3873, 'grad_norm': 4.780525207519531, 'learning_rate': 2.337662337662338e-06, 'epoch': 0.0}
{'loss': 8.2802, 'grad_norm': 5.208127021789551, 'learning_rate': 2.4675324675324676e-06, 'epoch': 0.0}
{'loss': 8.349, 'grad_norm': 5.000898838043213, 'learning_rate': 2.597402597402597e-06, 'epoch': 0.0}
{'loss': 8.4029, 'grad_norm': 5.262330055236816, 'learning_rate': 2.7272727272727272e-06, 'epoch': 0.01}
{'loss': 8.3578, 'grad_norm': 4.748672008514404, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.01}
{'loss': 8.0938, 'grad_norm': 4.68088960647583, 'learning_rate': 2.9870129870129873e-06, 'epoch': 0.01}
{'loss': 7.9994, 'grad_norm': 4.6159563064575195, 'learning_rate': 3.116883116883117e-06, 'epoch': 0.01}
{'loss': 8.6103, 'grad_norm': 5.647395133972168, 'learning_rate': 3.246753246753247e-06, 'epoch': 0.01}
{'loss': 8.2769, 'grad_norm': 4.4568352699279785, 'learning_rate': 3.376623376623377e-06, 'epoch': 0.01}
{'loss': 8.2171, 'grad_norm': 5.111597537994385, 'learning_rate': 3.506493506493507e-06, 'epoch': 0.01}
{'loss': 8.472, 'grad_norm': 5.229727268218994, 'learning_rate': 3.6363636363636366e-06, 'epoch': 0.01}
{'loss': 7.8838, 'grad_norm': 4.623948574066162, 'learning_rate': 3.7662337662337666e-06, 'epoch': 0.01}
{'loss': 7.8383, 'grad_norm': 4.7343831062316895, 'learning_rate': 3.896103896103897e-06, 'epoch': 0.01}
