  0%|                                                                                                                                                                                  | 0/5118 [00:00<?, ?it/s]/data/pangzs/miniconda3/envs/etchat/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
You are not running the flash-attention implementation, expect numerical differences.
                                                                                                                                                                                                                
{'loss': 6.1578, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 6.3725, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 5.9507, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 6.1167, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 6.1994, 'grad_norm': 7.2510905265808105, 'learning_rate': 1.298701298701299e-07, 'epoch': 0.0}
{'loss': 6.8899, 'grad_norm': 7.12809944152832, 'learning_rate': 2.597402597402598e-07, 'epoch': 0.0}
{'loss': 6.4785, 'grad_norm': 5.632352828979492, 'learning_rate': 3.896103896103896e-07, 'epoch': 0.0}
{'loss': 6.4941, 'grad_norm': 7.746293544769287, 'learning_rate': 5.194805194805196e-07, 'epoch': 0.0}
{'loss': 6.1717, 'grad_norm': 6.742332458496094, 'learning_rate': 6.493506493506493e-07, 'epoch': 0.0}
{'loss': 6.4622, 'grad_norm': 6.7514424324035645, 'learning_rate': 7.792207792207792e-07, 'epoch': 0.0}
{'loss': 6.2604, 'grad_norm': 5.740489959716797, 'learning_rate': 9.090909090909091e-07, 'epoch': 0.0}
{'loss': 6.0603, 'grad_norm': 8.34543514251709, 'learning_rate': 1.0389610389610392e-06, 'epoch': 0.0}
{'loss': 6.2035, 'grad_norm': 7.14316463470459, 'learning_rate': 1.168831168831169e-06, 'epoch': 0.0}
{'loss': 6.0122, 'grad_norm': 5.432629108428955, 'learning_rate': 1.2987012987012986e-06, 'epoch': 0.0}
{'loss': 6.6352, 'grad_norm': 8.45727252960205, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.0}
{'loss': 6.1245, 'grad_norm': 8.45727252960205, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.0}
{'loss': 6.5979, 'grad_norm': 6.540543556213379, 'learning_rate': 1.5584415584415584e-06, 'epoch': 0.0}
{'loss': 6.3711, 'grad_norm': 7.105633735656738, 'learning_rate': 1.6883116883116885e-06, 'epoch': 0.0}
{'loss': 6.0507, 'grad_norm': 5.634981632232666, 'learning_rate': 1.8181818181818183e-06, 'epoch': 0.0}
{'loss': 6.3478, 'grad_norm': 5.103931427001953, 'learning_rate': 1.9480519480519483e-06, 'epoch': 0.0}
{'loss': 5.9601, 'grad_norm': 4.806902885437012, 'learning_rate': 2.0779220779220784e-06, 'epoch': 0.0}
{'loss': 6.314, 'grad_norm': 6.317867755889893, 'learning_rate': 2.207792207792208e-06, 'epoch': 0.0}
{'loss': 6.0046, 'grad_norm': 4.7344207763671875, 'learning_rate': 2.337662337662338e-06, 'epoch': 0.0}
{'loss': 6.0502, 'grad_norm': 5.1656084060668945, 'learning_rate': 2.4675324675324676e-06, 'epoch': 0.0}
{'loss': 5.9103, 'grad_norm': 5.003044128417969, 'learning_rate': 2.597402597402597e-06, 'epoch': 0.0}
{'loss': 6.1324, 'grad_norm': 5.207020282745361, 'learning_rate': 2.7272727272727272e-06, 'epoch': 0.01}
{'loss': 5.91, 'grad_norm': 4.7234063148498535, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.01}
{'loss': 5.7862, 'grad_norm': 4.5945658683776855, 'learning_rate': 2.9870129870129873e-06, 'epoch': 0.01}
{'loss': 5.5761, 'grad_norm': 4.632552623748779, 'learning_rate': 3.116883116883117e-06, 'epoch': 0.01}
